date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,19.81,20.43,19.35,19.0,278981.59,-0.49,-2.47,19.628,21.681,21.803,343572.59,370332.55,426945.12,6.98
2016-12-23,18.5,20.48,19.84,18.2,336089.72,1.36,7.36,20.838,21.921,21.872,333144.03,376232.52,463481.75,8.41
2016-12-16,19.48,19.92,18.48,17.18,409075.41,-0.92,-4.74,21.892,22.097,21.878,364304.86,380941.66,470198.47,10.24
2016-12-09,20.85,21.39,19.4,19.37,266859.34,-1.67,-7.93,22.856,22.368,21.87,388002.42,375290.25,468916.28,6.68
2016-12-02,25.0,25.1,21.07,20.75,426856.91,-4.33,-17.05,23.754,22.62,21.823,446453.96,369101.91,467539.47,10.68
2016-11-16,25.22,25.52,25.4,24.15,226838.78,0.29,1.16,23.734,22.821,21.54,397092.51,405622.28,448706.51,5.68
2016-11-11,23.11,25.4,25.11,22.84,491893.84,1.81,7.77,23.004,22.566,21.008,419321.01,443849.5,444367.27,12.31
2016-11-04,23.78,24.75,23.3,22.65,527563.25,-0.59,-2.47,22.302,22.229,20.512,397578.46,422690.83,433834.88,13.2
2016-10-28,21.15,24.56,23.89,21.04,559117.0,2.92,13.93,21.88,22.111,20.089,362578.07,443081.9,418302.94,13.99
2016-10-21,21.99,22.09,20.97,20.78,180049.66,-0.78,-3.59,21.486,21.856,19.699,291749.86,429747.76,399643.5,4.51
2016-10-14,21.9,23.25,21.75,21.11,337981.28,0.15,0.69,21.908,21.925,19.415,414152.05,483557.69,399119.56,8.46
2016-09-30,21.03,21.85,21.6,19.19,383181.09,0.41,1.94,22.128,21.823,19.026,468377.99,550730.98,391024.9,9.59
2016-09-23,21.95,22.1,21.19,20.44,352561.31,-0.73,-3.33,22.156,21.659,18.725,447803.19,559455.28,382207.16,12.07
2016-09-14,22.5,22.77,21.92,21.5,204975.95,-1.16,-5.03,22.342,21.372,18.436,523585.73,562542.31,378751.35,7.02
2016-09-09,22.57,24.94,23.08,22.57,792060.62,0.23,1.01,22.226,21.025,18.224,567745.66,565977.04,379685.58,27.11
2016-09-02,21.87,23.8,22.85,20.61,609111.0,1.11,5.11,21.942,20.259,18.219,552963.32,491790.74,352030.97,20.85
2016-08-26,22.08,22.41,21.74,21.38,280307.09,-0.38,-1.72,21.518,19.449,18.236,633083.97,444885.03,337217.02,9.59
2016-08-19,21.6,23.04,22.12,21.18,731474.0,0.78,3.65,21.162,18.794,18.348,671107.37,444978.94,339883.69,25.04
2016-08-12,21.41,21.7,21.34,20.71,425775.59,-0.32,-1.48,20.402,18.067,18.337,601498.88,393523.98,320887.0,14.57
2016-08-05,20.37,22.7,21.66,20.03,718148.94,0.93,4.49,19.824,17.541,18.342,564208.41,369539.24,315120.2,24.58
2016-07-29,20.17,23.35,20.73,20.0,1009714.25,0.77,3.86,18.576,16.905,18.318,430618.15,314681.44,297592.91,34.56
2016-07-22,18.0,20.8,19.96,17.9,470424.06,1.64,8.95,17.38,16.229,18.493,256686.09,231318.82,279622.84,16.1
2016-07-15,18.0,18.79,18.32,17.05,383431.56,-0.13,-0.7,16.426,15.79,18.742,218850.52,204959.04,294051.68,13.12
2016-07-08,16.96,19.5,18.45,16.96,239323.25,3.03,19.65,15.732,15.5,18.943,185549.09,194960.4,297669.02,8.19
2016-03-15,15.02,15.55,15.42,15.02,50197.64,0.67,4.54,15.258,15.422,19.051,174870.08,193394.13,311152.31,1.72
2016-03-11,15.17,15.77,14.75,14.49,140053.94,-0.44,-2.9,15.234,16.178,19.401,198744.73,212271.21,338706.92,4.79
2016-03-04,14.82,16.71,15.19,13.8,281246.19,0.34,2.29,15.078,17.022,19.684,205951.54,229549.0,365886.2,9.63
2016-02-26,16.35,16.75,14.85,14.31,216924.42,-1.23,-7.65,15.154,17.902,19.734,191067.57,234788.43,358028.82,7.43
2016-02-19,14.68,16.7,16.08,14.54,185928.19,0.78,5.1,15.268,18.606,19.775,204371.72,248250.02,357443.95,6.36
2016-02-05,13.99,15.9,15.3,13.9,169570.92,1.33,9.52,15.586,19.143,19.735,211918.19,260701.16,365984.74,5.8
2016-01-29,15.78,16.15,13.97,13.26,176088.0,-1.6,-10.28,17.122,19.73,19.671,225797.68,280504.38,379913.78,6.03
2016-01-22,14.97,16.38,15.57,14.7,206826.31,0.15,0.97,18.966,20.756,19.776,253146.45,327926.86,391361.22,7.08
2016-01-15,16.59,17.24,15.42,14.39,283445.16,-2.25,-12.73,20.65,21.694,19.616,278509.29,383144.33,392471.37,9.7
2016-01-08,22.8,22.84,17.67,16.3,223660.56,-5.31,-23.11,21.944,22.385,19.668,292128.31,400377.64,401469.32,7.66
2015-12-31,23.2,23.4,22.98,21.3,238968.39,-0.21,-0.91,22.7,22.679,19.802,309484.13,428910.49,421920.94,8.18
2015-12-25,24.2,24.8,23.19,22.82,312831.84,-0.8,-3.33,22.338,22.624,19.751,335211.08,465142.63,441861.8,10.71
2015-12-18,21.61,24.66,23.99,21.5,333640.5,2.1,9.59,22.546,22.345,19.49,402707.26,502223.4,446910.96,11.42
2015-12-11,21.45,23.36,21.89,21.0,351540.28,0.44,2.05,22.738,21.565,19.166,487779.36,481269.22,453539.82,12.03
2015-12-04,21.18,22.0,21.45,19.29,310439.66,0.28,1.32,22.826,20.943,19.221,508626.97,466637.89,465976.31,10.63
2015-11-27,24.55,24.61,21.17,21.17,367603.12,-3.06,-12.63,22.658,20.327,19.205,548336.84,471268.32,487952.51,12.58
2015-11-20,24.51,27.69,24.23,23.01,650312.75,-0.72,-2.89,22.91,19.612,19.427,595074.17,479323.18,477781.34,22.26
2015-11-13,22.04,26.35,24.95,22.04,759001.0,2.62,11.73,22.144,18.796,19.379,601739.54,454795.58,468624.38,25.98
2015-11-06,20.35,23.15,22.33,19.86,455778.34,1.72,8.35,20.392,17.537,19.396,474759.07,401798.41,453049.97,15.6
2015-10-30,23.32,23.46,20.61,20.2,508988.97,-1.82,-8.11,19.06,16.95,19.683,424648.81,402560.99,460561.24,17.42
2015-10-23,20.55,22.43,22.43,18.23,601289.81,2.03,9.95,17.996,16.925,20.413,394199.8,414931.4,484423.86,20.58
2015-10-16,16.2,21.0,20.4,16.01,683639.56,4.21,26.0,16.314,16.877,20.701,363572.19,418580.98,482287.51,23.4
2015-10-09,16.03,16.5,16.19,15.75,124098.68,0.52,3.32,15.448,16.635,20.971,307851.62,391598.52,501149.64,4.25
2015-09-30,14.95,16.0,15.67,14.3,205227.05,0.38,2.48,14.682,16.767,21.638,328837.74,425810.43,554766.14,7.02
2015-09-25,13.9,15.95,15.29,13.73,356743.88,1.27,9.06,14.84,17.499,21.969,380473.18,465314.72,579991.89,12.21
2015-09-18,16.62,16.64,14.02,13.1,448151.78,-2.05,-12.76,15.854,18.082,22.204,435663.0,504636.71,592514.98,15.34
2015-09-11,12.92,16.07,16.07,12.63,405036.69,3.71,30.02,17.44,19.241,22.628,473589.77,476239.49,606274.23,13.86
2015-09-02,16.13,16.2,12.36,12.3,229029.31,-4.1,-24.91,17.822,19.961,22.899,475345.42,482453.18,636588.38,7.84
2015-08-28,20.0,20.4,16.46,14.0,463404.22,-3.9,-19.16,18.852,21.254,23.384,522783.12,504301.53,708059.71,15.86
2015-08-21,21.67,22.67,20.36,18.14,632693.0,-1.59,-7.24,20.158,22.415,23.533,550156.26,518561.49,729603.97,21.66
2015-08-14,18.22,22.83,21.95,18.22,637785.62,3.97,22.08,20.31,23.9,23.348,573610.42,553916.31,729042.91,21.83
2015-08-07,17.39,18.36,17.98,15.77,413814.94,0.47,2.68,21.042,24.524,23.039,478889.22,545994.03,740060.34,14.16
2015-07-31,22.3,23.65,17.51,17.02,466217.81,-5.48,-23.84,22.1,25.306,22.907,489560.94,610700.76,763316.26,15.96
2015-07-24,21.1,24.55,22.99,20.1,600269.94,1.87,8.85,23.656,26.509,22.755,485819.94,683721.86,780705.38,20.55
2015-07-17,25.63,27.9,21.12,19.89,749963.81,-4.49,-17.53,24.672,26.438,22.319,486966.72,694669.05,795819.22,25.67
2015-07-10,22.2,25.61,25.61,22.1,164179.59,2.34,10.06,27.49,26.326,21.873,534222.2,680393.25,765473.46,5.62
2015-07-01,26.5,26.98,23.27,21.44,467173.56,-2.02,-7.99,28.006,26.014,21.204,613098.85,736308.97,762396.07,15.99
2015-06-26,26.8,28.8,25.29,24.27,447512.81,-2.78,-9.9,28.512,25.837,20.645,731840.59,790723.58,749108.33,15.32
2015-06-19,34.99,34.99,28.07,28.07,606003.81,-7.14,-20.28,29.362,25.514,19.969,881623.77,911817.89,738942.34,20.74
2015-06-12,28.4,36.35,35.21,28.4,986241.25,7.02,24.9,28.204,24.65,19.169,902371.39,940646.45,746033.85,33.76
2015-06-05,25.86,28.59,28.19,25.0,558562.81,2.39,9.26,25.162,22.795,18.033,826564.3,904169.51,730742.48,19.12
2015-05-29,29.3,30.3,25.8,23.7,1060882.25,-3.74,-12.66,24.022,21.553,17.191,859519.09,934126.65,712740.82,36.31
2015-05-22,22.28,30.99,29.54,22.08,1196428.75,7.26,32.59,23.162,20.507,16.462,849606.58,915931.76,682629.76,40.95
2015-05-15,20.31,22.59,22.28,20.15,709741.88,2.28,11.4,21.666,19.0,15.541,942012.0,877688.91,631242.75,24.29
2015-05-08,22.2,22.55,20.0,18.59,607205.81,-2.49,-11.07,21.096,18.2,15.001,978921.5,896969.4,623482.69,20.78
2015-04-30,22.56,23.65,22.49,21.02,723336.75,0.99,4.61,20.428,17.42,14.61,981774.72,850553.68,663217.47,24.76
2015-04-24,21.7,22.78,21.5,20.24,1011319.69,-0.56,-2.54,19.084,16.393,14.099,1008734.2,788483.17,670535.16,34.62
2015-04-17,19.6,25.56,22.06,19.5,1658455.88,2.63,13.54,17.852,15.452,13.42,982256.95,707493.07,626157.15,56.77
2015-04-10,16.54,19.89,19.43,16.5,894289.38,2.77,16.63,16.334,14.424,12.713,813365.82,566066.79,559959.98,30.61
2015-04-03,15.99,16.88,16.66,15.99,621471.88,0.89,5.64,15.304,13.687,12.19,815017.29,551421.26,536518.41,21.27
2015-03-27,15.34,16.16,15.77,14.9,858134.19,0.43,2.8,14.412,13.271,11.835,719332.64,557315.45,528653.07,29.37
2015-03-20,14.52,15.66,15.34,14.51,878933.44,0.87,6.01,13.702,12.828,11.481,568232.14,491354.99,519318.5,30.09
2015-03-13,14.14,15.08,14.47,13.8,814000.19,0.19,1.33,13.052,12.417,11.192,432729.19,449327.76,536751.35,27.86
2015-03-06,12.25,14.48,14.28,12.2,902546.75,2.08,17.05,12.514,12.082,10.885,318767.76,384796.59,515810.87,30.89
2015-02-27,12.22,12.36,12.2,12.0,143048.61,-0.02,-0.16,12.07,11.802,10.558,287825.23,349995.98,487588.96,4.9
2015-02-17,12.09,12.25,12.22,12.05,102631.72,0.13,1.07,12.13,11.8,10.35,395298.26,475881.27,525869.1,3.51
2015-02-13,11.77,12.28,12.09,11.4,201418.67,0.31,2.63,11.954,11.805,10.135,414477.84,552587.15,562543.26,6.89
2015-02-06,11.8,12.2,11.78,11.66,244193.03,-0.28,-2.32,11.782,11.388,9.885,465926.34,544821.23,566968.32,8.36
2015-01-30,12.68,12.95,12.06,12.0,747834.12,-0.44,-3.52,11.65,11.001,9.66,450825.42,553853.18,570170.78,25.6
2015-01-23,11.02,13.08,12.5,10.55,680413.75,1.16,10.23,11.534,10.693,9.399,412166.73,521615.55,534955.17,23.29
2015-01-16,11.08,11.49,11.34,10.8,198529.61,0.11,0.98,11.47,10.398,9.109,556464.28,499990.69,508515.31,6.8
2015-01-09,11.16,11.99,11.23,10.89,458661.19,0.11,0.99,11.656,10.133,8.866,690696.46,547282.01,505618.55,15.7
2014-12-31,11.48,11.58,11.12,10.7,168688.41,-0.36,-3.14,10.994,9.966,8.611,623716.13,624174.94,489235.25,5.77
2014-12-26,12.18,12.25,11.48,10.66,554540.69,-0.7,-5.75,10.352,9.688,8.36,656880.95,646825.15,489873.96,18.98
2014-12-19,12.61,13.6,12.18,12.02,1401901.5,-0.09,-0.73,9.852,9.313,8.121,631064.37,625181.94,475015.52,47.99
2014-12-12,8.71,12.75,12.27,8.71,869690.5,4.35,54.92,9.326,8.9,7.864,443517.09,575856.94,430901.88,29.77
2014-04-30,7.82,7.99,7.92,7.55,123759.53,0.01,0.13,8.61,8.465,7.661,403867.57,572499.38,445442.11,4.24
2014-04-25,8.95,9.11,7.91,7.86,334512.53,-1.07,-11.91,8.938,8.381,7.618,624633.76,589115.42,458389.9,11.45
2014-04-18,9.55,9.59,8.98,8.81,425457.81,-0.57,-5.97,9.024,8.318,7.576,636769.36,586488.39,476706.69,14.56
2014-04-11,8.62,9.58,9.55,8.59,464165.09,0.86,9.9,8.774,8.104,7.453,619299.5,548294.79,467590.52,15.89
2014-04-04,9.3,9.36,8.69,8.22,671442.88,-0.87,-9.1,8.474,7.819,7.296,708196.78,517039.94,450894.32,22.98
2014-03-28,8.3,9.74,9.56,8.25,1227590.5,1.22,14.63,8.32,7.598,7.155,741131.18,463955.09,420812.84,42.02
2014-03-21,7.7,8.53,8.34,7.53,395190.5,0.61,7.89,7.824,7.255,6.981,553597.07,354295.56,365792.01,13.53
2014-03-14,7.89,8.04,7.73,7.45,338108.53,-0.32,-3.98,7.612,7.031,6.878,536207.41,332922.77,354501.46,11.57
2014-03-07,8.06,8.71,8.05,7.73,908651.5,0.13,1.64,7.434,6.928,6.829,477290.07,324849.1,362271.34,31.1
2014-02-28,7.1,8.2,7.92,7.07,836114.88,0.84,11.86,7.164,6.828,6.79,325883.09,285946.82,342696.37,28.62
2014-02-21,7.38,7.65,7.08,6.96,289919.94,-0.2,-2.75,6.876,6.856,6.752,186779.0,318384.85,304857.78,9.92
2014-02-14,6.85,7.48,7.28,6.84,308242.22,0.44,6.43,6.686,6.854,6.75,154994.05,327664.38,323065.38,10.55
2014-02-07,6.61,6.88,6.84,6.55,43521.82,0.14,2.09,6.45,6.834,6.738,129638.13,366924.99,321548.54,1.49
2014-01-30,6.42,6.88,6.7,6.35,151616.59,0.22,3.4,6.422,6.801,6.743,172408.13,386886.25,343405.94,5.19
2014-01-24,6.08,6.56,6.48,6.05,140594.45,0.35,5.71,6.492,6.772,6.741,246010.54,384748.71,351213.24,4.81
2014-01-17,6.05,6.39,6.13,6.02,130995.15,0.03,0.49,6.836,6.711,6.74,449990.7,377670.59,370772.1,4.48
2014-01-10,6.58,6.6,6.1,5.97,181462.62,-0.52,-7.86,7.022,6.706,6.722,500334.72,377288.46,370498.68,6.21
2013-12-27,7.0,7.04,6.7,6.55,257371.83,-0.35,-4.96,7.218,6.725,6.696,604211.86,376080.15,373482.47,8.81
2013-12-20,8.26,8.35,7.05,6.93,519628.66,-1.15,-14.02,7.18,6.729,6.643,601364.37,399693.57,365612.55,17.79
2013-12-13,7.12,8.58,8.2,7.12,1160495.25,1.14,16.15,7.052,6.752,6.566,523486.88,399445.92,344067.12,39.72
2013-12-06,6.95,7.24,7.06,6.43,382715.25,-0.02,-0.28,6.586,6.647,6.426,305350.48,291330.71,288660.49,13.1
2013-11-29,6.52,7.4,7.08,6.52,700848.31,0.57,8.76,6.39,6.646,6.342,254242.2,318466.37,275881.54,23.99
2013-11-22,6.3,6.74,6.51,6.3,243134.36,0.1,1.56,6.232,6.642,6.259,147948.44,276172.09,243475.18,8.32
2013-11-15,5.85,6.55,6.41,5.81,130241.25,0.54,9.2,6.278,6.685,6.204,198022.78,299925.64,233457.07,4.46
2013-11-08,6.11,6.21,5.87,5.8,69813.25,-0.21,-3.45,6.452,6.709,6.14,275404.96,317677.77,228992.27,2.39
2013-11-01,6.29,6.44,6.08,5.8,127173.83,-0.21,-3.34,6.708,6.769,6.131,277310.95,363873.6,227604.73,4.35
2013-10-25,6.72,6.87,6.29,6.26,169379.53,-0.45,-6.68,6.902,6.737,6.136,382690.54,363708.9,222274.67,5.8
2013-10-18,7.31,7.4,6.74,6.5,493506.06,-0.54,-7.42,7.052,6.666,6.136,404395.74,370884.78,220258.74,16.89
2013-10-11,7.14,7.5,7.28,6.99,517152.12,0.13,1.82,7.092,6.556,6.135,401828.49,331531.52,201555.04,17.7
2013-09-30,7.01,7.25,7.15,6.91,79343.19,0.1,1.42,6.966,6.38,6.107,359950.57,288688.32,182105.5,2.72
2013-09-27,6.92,7.65,7.05,6.69,654071.81,0.01,0.14,6.83,6.204,6.081,450436.26,285990.27,181520.27,22.39
2013-09-18,6.92,7.25,7.04,6.72,277905.53,0.1,1.44,6.572,6.038,6.06,344727.26,233296.71,152459.47,9.51
2013-09-13,6.65,7.09,6.94,6.52,480669.81,0.29,4.36,6.28,5.875,6.024,337373.81,210778.28,139721.83,16.45
2013-09-06,6.4,6.72,6.65,6.09,307762.53,0.18,2.78,6.02,5.722,5.989,261234.55,166988.5,122223.35,10.53
2013-08-30,5.81,6.65,6.47,5.74,531771.62,0.71,12.33,5.794,5.57,5.985,217426.07,140306.78,110616.27,18.2
2013-08-23,5.56,5.94,5.76,5.56,125526.8,0.18,3.23,5.578,5.493,5.997,121544.29,91335.87,104905.86,4.3
2013-08-16,5.64,6.02,5.58,5.55,241138.31,-0.06,-1.06,5.504,5.534,6.057,121866.15,80840.44,103950.92,8.25
2013-08-09,5.49,5.68,5.64,5.45,99973.48,0.12,2.17,5.47,5.606,6.101,84182.74,69632.69,96881.1,3.42
2013-08-02,5.33,5.56,5.52,5.17,88720.15,0.13,2.41,5.424,5.713,6.151,72742.45,71578.57,95799.56,3.04
2013-07-26,5.3,5.55,5.39,5.17,52362.69,0.0,0.0,5.346,5.834,6.195,63187.49,75522.67,95701.92,1.79
2013-07-19,5.4,5.94,5.39,5.38,127136.13,-0.02,-0.37,5.408,5.958,6.256,61127.44,77050.27,100106.13,4.35
2013-07-12,5.35,5.59,5.41,5.12,52721.23,0.0,0.0,5.564,6.082,6.331,39814.73,71622.23,103782.59,1.8
2013-07-05,5.13,5.43,5.41,5.04,42772.03,0.28,5.46,5.742,6.172,6.396,55082.65,68665.39,112626.01,1.46
2013-06-28,5.67,5.74,5.13,4.8,40945.37,-0.57,-10.0,6.002,6.256,6.448,70414.69,77458.2,114922.57,1.4
2013-06-21,6.19,6.22,5.7,5.53,42062.46,-0.47,-7.62,6.322,6.4,6.506,87857.85,80925.75,115526.08,1.44
2013-06-14,6.22,6.28,6.17,6.05,20572.58,-0.13,-2.06,6.508,6.501,6.525,92973.09,118475.85,119420.72,0.7
2013-06-07,6.74,6.98,6.3,6.28,129060.82,-0.41,-6.11,6.6,6.579,6.535,103429.72,127061.4,123123.76,4.42
2013-05-31,6.74,6.95,6.71,6.66,119432.21,-0.02,-0.3,6.602,6.595,6.529,82248.13,124129.5,122891.31,4.09
2013-05-24,6.68,6.94,6.73,6.59,128161.2,0.1,1.51,6.51,6.589,6.508,84501.7,120020.56,120987.92,4.39
2013-05-17,6.54,6.69,6.63,6.45,67638.62,0.0,0.0,6.478,6.555,6.457,73993.65,115881.16,117042.14,2.32
2013-05-10,6.32,6.66,6.63,6.3,72855.73,0.32,5.07,6.494,6.554,6.408,143978.61,123161.99,115714.33,2.49
2013-05-03,6.2,6.37,6.31,6.05,23152.91,0.06,0.96,6.558,6.579,6.355,150693.08,135942.96,113252.5,0.79
2013-04-26,6.5,6.82,6.25,6.22,130700.05,-0.32,-4.87,6.588,6.62,6.307,166010.86,156586.63,112918.87,4.47
2013-04-19,6.68,6.68,6.57,6.33,75620.96,-0.14,-2.09,6.668,6.639,6.29,155539.41,152386.95,107472.23,2.59
2013-04-12,6.79,7.79,6.71,6.66,417563.41,-0.24,-3.45,6.632,6.612,6.261,157768.66,150126.4,104799.19,14.29
2013-04-03,6.41,6.97,6.95,6.41,106428.08,0.49,7.58,6.614,6.548,6.235,102345.38,120365.59,85754.0,3.64
2013-03-29,6.67,6.76,6.46,6.3,99741.79,-0.19,-2.86,6.6,6.49,6.222,121192.83,119186.11,82352.61,3.41
2013-03-22,6.38,6.69,6.65,6.09,78342.81,0.26,4.07,6.652,6.462,6.229,147162.4,121653.13,86494.11,2.68
2013-03-15,6.66,6.67,6.39,6.21,86767.23,-0.23,-3.47,6.61,6.426,6.242,149234.48,121955.28,84331.51,2.97
2013-03-08,6.8,7.07,6.62,6.34,140446.97,-0.26,-3.78,6.592,6.359,6.265,142484.14,118203.12,82719.43,4.81
2013-03-01,6.73,6.99,6.88,6.56,200665.36,0.16,2.38,6.482,6.262,6.268,138385.8,108266.66,77477.87,6.87
2013-02-22,6.49,6.94,6.72,6.35,229589.61,0.28,4.35,6.38,6.131,6.254,117179.39,90562.05,69901.18,7.86
2013-02-08,6.34,6.48,6.44,6.15,88703.25,0.14,2.22,6.272,5.993,6.261,96143.86,69251.12,61340.05,3.04
2013-02-01,6.07,6.38,6.3,6.07,53015.51,0.23,3.79,6.242,5.941,6.281,94676.07,62557.51,58877.53,1.81
2013-01-25,6.4,6.68,6.07,6.04,119955.29,-0.3,-4.71,6.126,5.91,6.291,93922.1,59471.99,58111.68,4.11
2013-01-18,6.14,6.45,6.37,6.14,94633.3,0.19,3.07,6.042,5.922,6.328,78147.51,51142.41,53556.38,3.24
2013-01-11,6.34,6.56,6.18,6.16,124411.96,-0.26,-4.04,5.882,5.953,6.342,63944.71,45519.11,49775.3,4.26
2012-12-28,5.71,6.35,6.29,5.66,81364.29,0.57,9.96,5.714,5.995,6.378,42358.38,51335.09,45391.22,2.79
2012-12-21,5.63,5.85,5.72,5.61,49245.68,0.07,1.24,5.64,6.057,6.394,30438.95,46707.75,42275.16,1.69
2012-12-14,5.62,5.68,5.65,5.36,41082.32,0.08,1.44,5.694,6.171,6.45,25021.87,47235.73,41029.8,1.41
2012-12-07,5.32,5.74,5.57,5.0,23619.3,0.23,4.31,5.802,6.273,6.522,24137.31,46689.08,40959.41,0.81
2012-11-30,5.95,5.95,5.34,5.29,16480.3,-0.58,-9.8,6.024,6.377,6.601,27093.5,49240.31,41051.55,0.56
2012-11-23,6.0,6.14,5.92,5.86,21767.15,-0.07,-1.17,6.276,6.529,6.704,60311.79,53428.99,42342.88,0.75
2012-11-16,6.19,6.26,5.99,5.94,22160.26,-0.2,-3.23,6.474,6.62,6.779,62976.54,55197.54,42680.02,0.76
2012-11-09,6.65,6.73,6.19,6.17,36659.52,-0.49,-7.33,6.648,6.671,6.867,69449.6,56751.38,43189.24,1.25
2012-11-02,6.53,6.76,6.68,6.45,38400.27,0.08,1.21,6.744,6.733,6.959,69240.85,55970.36,42877.82,1.31
2012-10-26,6.91,7.54,6.6,6.58,182571.77,-0.31,-4.49,6.73,6.73,7.021,71387.13,54031.49,44240.01,6.25
2012-10-19,6.9,7.04,6.91,6.75,35090.9,0.05,0.73,6.782,6.761,7.115,46546.18,39447.35,47862.52,1.2
2012-10-12,6.67,7.09,6.86,6.63,54525.54,0.19,2.85,6.766,6.731,7.173,47418.54,37842.57,48599.42,1.87
2012-09-28,6.59,6.75,6.67,6.2,35615.75,0.06,0.91,6.694,6.728,7.24,44053.16,34823.86,50947.04,1.22
2012-09-21,6.81,6.94,6.61,6.58,49131.69,-0.25,-3.64,6.722,6.771,7.325,42699.86,35229.75,52800.9,1.68
2012-09-14,6.82,7.05,6.86,6.77,58367.01,0.03,0.44,6.73,6.825,7.419,36675.86,32862.79,52908.14,2.0
2012-09-07,6.52,6.87,6.83,6.41,39452.73,0.33,5.08,6.74,6.879,7.492,32348.51,31256.77,56839.3,1.35
2012-08-31,6.76,6.76,6.5,6.41,37698.63,-0.31,-4.55,6.696,6.937,7.572,28266.59,30162.5,60265.59,1.29
2012-08-24,6.6,7.0,6.81,6.5,28849.26,0.16,2.41,6.762,7.063,7.656,25594.56,29627.11,63480.47,0.99
2012-08-17,6.96,6.96,6.65,6.53,19011.65,-0.26,-3.76,6.82,7.185,7.731,27759.63,29785.29,64639.11,0.65
2012-08-10,6.57,6.94,6.91,6.54,36730.29,0.3,4.54,6.92,7.312,7.77,29049.71,34448.52,69986.55,1.26
2012-08-03,6.85,6.92,6.61,6.38,19043.11,-0.22,-3.22,7.018,7.469,7.849,30165.03,56277.69,72534.35,0.65
2012-07-27,7.11,7.12,6.83,6.81,24338.51,-0.27,-3.8,7.178,7.615,7.937,32058.41,59356.28,83289.24,0.83
2012-07-20,7.15,7.26,7.1,6.69,39674.57,-0.05,-0.7,7.364,7.751,8.01,33659.65,67070.21,86863.89,1.36
2012-07-13,7.4,7.41,7.15,7.0,25462.09,-0.25,-3.38,7.55,7.878,8.059,31810.95,70372.06,89129.61,0.87
2012-07-06,7.41,7.81,7.4,7.18,42306.87,-0.01,-0.14,7.704,8.013,8.115,39847.32,72953.49,94616.23,1.45
2012-06-29,7.75,7.75,7.41,7.2,28510.02,-0.35,-4.51,7.92,8.105,8.148,82390.35,82421.83,98446.88,0.98
2012-06-21,8.08,8.15,7.76,7.73,32344.7,-0.27,-3.36,8.052,8.207,8.184,86654.14,90368.68,107527.59,1.11
