,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,pred
803,1999-11-26,11.02,11.09,10.5,10.2,18185.0,-0.56,-5.06,10.584000000000001,10.765999999999998,10.097000000000001,31484.2,34687.3,55581.3,5.4,11.35
804,1999-11-19,10.4,11.43,11.06,10.4,54748.0,0.56,5.33,10.7,10.866,9.986,37892.0,40788.7,61428.8,16.26,10.5
805,1999-11-12,10.16,10.78,10.5,9.95,18101.0,0.34,3.35,10.665999999999999,10.81,9.895,31849.8,42779.5,63146.7,5.38,11.06
806,1999-11-05,10.55,10.6,10.16,9.98,21542.0,-0.54,-5.05,10.564,10.889000000000001,9.798,31802.4,65599.8,67006.3,6.4,10.5
807,1999-10-29,11.2,11.48,10.7,10.65,44845.0,-0.38,-3.43,10.792,10.924000000000001,9.707,31198.4,79005.6,71029.95,13.32,10.16
808,1999-10-22,10.87,11.28,11.08,10.33,50224.0,0.19,1.75,10.948,10.704,9.547,37890.4,76692.6,72371.7,14.91,10.7
809,1999-10-15,9.9,10.89,10.89,9.62,24537.0,0.9,9.01,11.032,10.494000000000002,9.371,43685.4,78198.2,73504.15,7.29,11.08
810,1999-10-08,11.38,11.5,9.99,9.98,17864.0,-1.31,-11.59,10.954,10.315999999999999,9.209,53709.2,81549.6,74664.9,5.3,10.89
811,1999-09-24,11.4,11.59,11.3,11.05,18522.0,-0.18,-1.57,11.214,10.127,9.022,99397.2,82162.8,74282.55,5.5,9.99
812,1999-09-17,11.55,12.63,11.48,11.33,78305.0,-0.02,-0.17,11.056,9.775,8.802,126812.8,81805.8,73799.4,23.25,11.3
813,1999-09-10,10.39,11.86,11.5,10.27,79199.0,1.0,9.52,10.46,9.427,8.576,115494.8,76475.3,71482.45,23.52,11.48
814,1999-09-03,11.3,11.47,10.5,10.25,74656.0,-0.79,-7.0,9.956,9.106,8.384,112711.0,82068.9,72745.25,22.17,11.5
815,1999-08-27,10.61,11.86,11.29,10.52,246304.0,0.78,7.42,9.677999999999999,8.98,8.23,109390.0,83513.9,69977.6,73.14,10.5
816,1999-08-20,8.51,10.51,10.51,8.4,155600.0,2.01,23.65,9.04,8.707,8.055,64928.4,68412.8,59217.35,46.21,11.29
817,1999-08-13,8.98,9.25,8.5,8.4,21715.0,-0.48,-5.34,8.494,8.49,7.906000000000001,36798.8,63054.3,52325.3,6.45,10.51
818,1999-08-06,9.22,9.57,8.98,8.75,65280.0,-0.13,-1.43,8.394,8.39,7.841,37455.8,68050.8,51734.9,19.39,8.5
819,1999-07-30,8.03,9.3,9.11,8.0,58051.0,1.01,12.47,8.256,8.248,7.757000000000001,51426.8,68810.1,49662.55,17.24,8.98
820,1999-07-23,7.63,8.48,8.1,7.51,23996.0,0.32,4.11,8.282,8.102,7.678999999999999,57637.8,67780.2,48253.1,7.13,9.11
821,1999-07-16,7.96,7.99,7.78,7.46,14952.0,-0.22,-2.75,8.374,7.917000000000001,7.621,71897.2,66402.3,48394.2,4.44,8.1
822,1999-07-09,8.4,8.44,8.0,7.61,25000.0,-0.29,-3.5,8.486,7.829,7.544,89309.8,65793.0,47808.15,7.42,7.78
823,1999-07-02,8.9,9.98,8.29,7.88,135135.0,-0.95,-10.28,8.386000000000001,7.724,7.452999999999999,98645.8,66489.6,46976.25,40.13,8.0
824,1999-06-25,8.65,9.35,9.24,8.6,89106.0,0.68,7.94,8.24,7.662000000000001,7.367999999999999,86193.4,63421.6,40836.75,26.46,8.29
825,1999-06-18,8.48,8.98,8.56,7.9,95293.0,0.22,2.64,7.922000000000001,7.479,7.2379999999999995,77922.6,56441.3,37269.0,28.3,9.24
826,1999-06-11,7.55,8.7,8.34,7.55,102015.0,0.84,11.2,7.46,7.402,7.1370000000000005,60907.4,50021.9,33271.45,30.29,8.56
827,1999-06-04,7.5,8.38,7.5,7.25,71680.0,-0.06,-0.79,7.172000000000001,7.321000000000001,7.104,42276.2,41596.3,28543.25,21.29,8.34
828,1999-05-28,7.82,8.05,7.56,7.1,72873.0,-0.09,-1.18,7.062,7.292000000000001,7.119,34333.4,35419.0,25294.5,21.64,7.5
829,1999-05-21,6.25,7.77,7.65,6.1,47752.0,1.4,22.4,7.084,7.266,7.148,40649.8,30515.0,22477.9,14.18,7.56
830,1999-05-14,6.6,6.82,6.25,6.21,10217.0,-0.65,-9.42,7.0360000000000005,7.255,7.1610000000000005,34960.0,28726.0,21060.6,3.03,7.65
831,1999-05-07,6.9,7.1,6.9,6.8,8859.0,-0.05,-0.72,7.343999999999999,7.325,7.246,39136.4,30386.1,21036.9,2.63,6.25
832,1999-04-30,7.31,7.48,6.95,6.5,31966.0,-0.72,-9.39,7.47,7.257999999999999,7.285,40916.4,29823.3,21025.85,9.49,6.9
